username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2012-06-11 04:29;0;0;"#whatYouShouldKnowAboutMe I am an ( ISTJ ) - one of the rarest of the Myers-Briggs types. PLEASE READ the profile for an ISTJ in MY Bio";;;#whatYouShouldKnowAboutMe;"212144609256677376";https://twitter.com/Raghad_S_M/status/212144609256677376
;2012-06-09 08:44;0;0;"@spectrumed512 @yoshiiie @dearestwish @wlifers @MrJonn I am ISFJ now. I used to be an ISTJ and something else.";;@spectrumed512 @yoshiiie @dearestwish @wlifers @MrJonn;;"211483909114970112";https://twitter.com/saturdaycity/status/211483909114970112
;2012-06-07 20:31;0;0;"I am an 'trustee' / ISTJ person #itpmtraining";;;#itpmtraining;"210936953644908545";https://twitter.com/vdmamaril/status/210936953644908545
;2012-06-06 19:06;0;0;"I am an ISTJ /Examiner, like 8.5% of the population. Download the Personality Test app to learn your type. http:// ahelms.com/apps/pt.htm";;;;"210553305951252481";https://twitter.com/JimLittlefield/status/210553305951252481
;2012-06-05 16:21;0;0;"@ppremii of couse i do... i am an ISTJ ... CEO type personality";;@ppremii;;"210149273797541888";https://twitter.com/Wenna1203/status/210149273797541888
;2012-06-02 08:06;0;0;"I am an ISTJ /Examiner, like 8.5% of the population. Download the Personality Test app to learn your type. http:// ahelms.com/apps/pt.htm";;;;"208937578290884608";https://twitter.com/chughes619/status/208937578290884608
;2012-06-02 04:57;0;0;"I am an ISTJ /Examiner, like 8.5% of the population. Download the Personality Test app to learn your type. http:// ahelms.com/apps/pt.htm";;;;"208889965285883905";https://twitter.com/ahelms/status/208889965285883905
;2012-05-23 09:25;0;0;"@lovestyle hush i am totally an istj";;@lovestyle;;"205333558804492289";https://twitter.com/pookiesbahookie/status/205333558804492289
;2012-05-23 09:14;0;0;"I'm totally an ISTJ but...it...just doesn't fit me and now I AM DOUBTING MYSELF";;;;"205330772503171072";https://twitter.com/pookiesbahookie/status/205330772503171072
;2012-05-19 12:01;0;0;"anyone taken a personality test lately? I just took one today, I am an ISTJ , what are you?";;;;"203923384940249089";https://twitter.com/joshcoen/status/203923384940249089
