,MBTI,created_prof,user_screen_name,tweets,id_,loc,descr,prot,followers,follow,friends,fav,timeZ,geo_en,prof_bg_col,prof_bkim_url,prof_image_url
76,ENFJ,,jojosepiphany,,,"Baltimore, MD",,,,,,,,,,,http://pbs.twimg.com/profile_images/1134135997992714240/0BW8KL8__normal.jpg
77,ENFJ,,minyoonginoona,,,"BTS Supermarket, KL",,,,,,,,,,,http://pbs.twimg.com/profile_images/1146769351099338753/RAWa16qv_normal.jpg
78,ENFJ,,the_town_crier,,,nyc,,,,,,,,,,,http://pbs.twimg.com/profile_images/788953010164600832/fNBuhbI-_normal.jpg
79,ENFJ,,DHFrisby,,,Boulder,,,,,,,,,,,http://pbs.twimg.com/profile_images/609810151743164416/78rbyRoc_normal.jpg
80,ENFJ,,infpmusing,,,anywhere but here,,,,,,,,,,,http://pbs.twimg.com/profile_images/877327860901400581/Pk6ZutiB_normal.jpg
81,ENFJ,,howoojeong,,,coups' gluteus maximus,,,,,,,,,,,http://pbs.twimg.com/profile_images/1145672372910841856/-HXfTt8__normal.jpg
82,ENFJ,,myrangelica,,,Middle Earth,,,,,,,,,,,http://pbs.twimg.com/profile_images/1110865438290989057/7J2vjrUx_normal.jpg
83,ENFJ,,meister_shyster,,,"Connecticut, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1113973059864748034/UYqohhh6_normal.jpg
84,ENFJ,,DavidLeegarlock,,,"Pennsylvania, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/717502398932058112/m6eBnY18_normal.jpg
85,ENFJ,,thymelord18,,,"Wisconsin, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1099388530869129217/ItQFVsCI_normal.jpg
86,ENFJ,,Kathrynclang,,,World Dominator and Hopesmith,,,,,,,,,,,http://pbs.twimg.com/profile_images/1071254922241499136/F5csxWQg_normal.jpg
87,ENFJ,,_jasminetay,,,"New York, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1077647976997171200/hGGGmvH3_normal.jpg
88,ENFJ,,alvarmp1,,,"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,http://pbs.twimg.com/profile_images/1102360315428257797/41KdAMm3_normal.jpg
89,ENFJ,,Canny4,,,"Town and Country, MO",,,,,,,,,,,http://pbs.twimg.com/profile_images/742330039635582976/mQonGQi6_normal.jpg
90,ENFJ,,ImperfectpoetTG,,,United States,,,,,,,,,,,http://pbs.twimg.com/profile_images/1133316664810987520/ri6cPncb_normal.jpg
91,ENFJ,,Kennalea,,,"Missouri, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/734472600848470016/ka_LCw-h_normal.jpg
92,ENFJ,,diina0201,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1148230191660974081/wVJHRxdY_normal.jpg
93,ENFJ,,kayhihello,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1089247147545976832/RNW2artT_normal.jpg
94,ENFJ,,CupcakePotter,,,"Wilmington, North Carolina",,,,,,,,,,,http://pbs.twimg.com/profile_images/1057112479854137345/OllN-XBR_normal.jpg
95,ENFJ,,taeoverflowers,,,mia because @ college,,,,,,,,,,,http://pbs.twimg.com/profile_images/1142677951680401408/1lG-Et2p_normal.jpg
96,ENFJ,,jomwlever,,,"Greater Manchester, England",,,,,,,,,,,http://pbs.twimg.com/profile_images/1146523178229018625/vERU5RDb_normal.jpg
97,ENFJ,,LacetteCross,,,"Richmond, VA",,,,,,,,,,,http://pbs.twimg.com/profile_images/840005078455062529/AvQ6FBAo_normal.jpg
98,ENFJ,,yuntokkii,,,🇲🇾,,,,,,,,,,,http://pbs.twimg.com/profile_images/1148878980759478272/NYK3ptyy_normal.jpg
99,ENFJ,,theblindjoe,,,Wherever the music takes me.,,,,,,,,,,,http://pbs.twimg.com/profile_images/648897833727324161/ZUALCFSk_normal.png
100,ENFJ,,wonyoungmu,,,DØRK ft fluörry.,,,,,,,,,,,http://pbs.twimg.com/profile_images/1149610647920902144/zrJgnzap_normal.jpg
101,ENFJ,,robynnyborrobyn,,,fckin countryass fcked up town,,,,,,,,,,,http://pbs.twimg.com/profile_images/1144722858431721472/K0OH9NZ6_normal.jpg
102,ENFJ,,usnehal,,,"Boston, MA",,,,,,,,,,,http://pbs.twimg.com/profile_images/903432464156073986/K9r22wpA_normal.jpg
103,ENFJ,,twentytyler,,,||-//,,,,,,,,,,,http://pbs.twimg.com/profile_images/885520410355400704/Ui_TQdwN_normal.jpg
104,ENFJ,,polarisparker,,,she/her,,,,,,,,,,,http://pbs.twimg.com/profile_images/1134841710414983168/cpn9mpe8_normal.png
105,ENFJ,,judoletteflip,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1129549830198419457/1HALXzTh_normal.png
106,ENFJ,,BenPsittacorum,,,"San Antonio, TX",,,,,,,,,,,http://pbs.twimg.com/profile_images/1089844764801986561/-fiymQzk_normal.jpg
107,ENFJ,,_youngsandwich,,,a bed at ikea,,,,,,,,,,,http://pbs.twimg.com/profile_images/1149227434715185152/cG8O1hTt_normal.jpg
108,ENFJ,,srhgalaksi,,,Malaysia,,,,,,,,,,,http://pbs.twimg.com/profile_images/1150242323277549568/S37GYo_D_normal.jpg
109,ENFJ,,chloemstg,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1083979653524541440/bVwU4viY_normal.jpg
110,ENFJ,,sagmoonx,,,◯ ,,,,,,,,,,,http://pbs.twimg.com/profile_images/1120446792049549314/q9yRMEzm_normal.jpg
111,ENFJ,,CSLCHSnMore,,,Arizona and Texas,,,,,,,,,,,http://pbs.twimg.com/profile_images/1121929250632761345/6ezKKc1r_normal.png
112,ENFJ,,vickydeLPM,,,somewhere,,,,,,,,,,,http://pbs.twimg.com/profile_images/1144960320731078656/km4WwYN5_normal.jpg
113,ENFJ,,alesaprincipesa,,,Pluto,,,,,,,,,,,http://pbs.twimg.com/profile_images/1069919897365422080/V82Dq3Jw_normal.jpg
114,ENFJ,,cameronbeals,,,"Chapel Hill, NC",,,,,,,,,,,http://pbs.twimg.com/profile_images/1128881091639697409/Kt0CpSbH_normal.jpg
115,ENFJ,,lwdavie,,,New Zealand,,,,,,,,,,,http://pbs.twimg.com/profile_images/1099966221737287681/c99slVAU_normal.jpg
116,ENFJ,,ehTera,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1130246973490159617/l6vo-0hI_normal.jpg
117,ENFJ,,BourgeoisBaddie,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1105842977451200512/5xnYMrwA_normal.png
118,ENFJ,,astralhopes,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1042981356660121601/Bo0jDYRX_normal.jpg
119,ENFJ,,ArendsCarrie,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1033481970666229760/hw-gKCTe_normal.jpg
120,ENFJ,,shookspeare1721,,,U.S.A,,,,,,,,,,,http://pbs.twimg.com/profile_images/1074843725447221248/SX1ERPmz_normal.jpg
121,ENFJ,,erniannek,,,ouachita 21,,,,,,,,,,,http://pbs.twimg.com/profile_images/1141108055691710465/mr5gzKke_normal.jpg
122,ENFJ,,elizagolightly4,,,Texas,,,,,,,,,,,http://pbs.twimg.com/profile_images/1098306908883247107/PS2t3fCr_normal.jpg
123,ENFJ,,Roland00Address,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/897307124081893377/SVxO4M05_normal.jpg
124,ENFJ,,ThomasDierson,,,"Birmingham, AL",,,,,,,,,,,http://pbs.twimg.com/profile_images/961817438550573063/UC_m1ZXJ_normal.jpg
125,ENFJ,,caneel,,,"Los Angeles, CA",,,,,,,,,,,http://pbs.twimg.com/profile_images/951699136671133696/VPd7zv70_normal.jpg
126,ENFJ,,mymeIoji,,,NA,,,,,,,,,,,NA
127,ENFJ,,Costume_Bitch,,,"Plano, Texas",,,,,,,,,,,http://pbs.twimg.com/profile_images/1083929796281884674/1WaLtisn_normal.jpg
128,ENFJ,,judoletteflip,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1129549830198419457/1HALXzTh_normal.png
129,ENFJ,,judoletteflip,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1129549830198419457/1HALXzTh_normal.png
130,ENFJ,,WesalHammam,,,Wherever the light is.,,,,,,,,,,,http://pbs.twimg.com/profile_images/1142217685641699338/RxTjBeA5_normal.jpg
131,ENFJ,,Salzasal,,,Beautiful Dorset,,,,,,,,,,,http://pbs.twimg.com/profile_images/478248941113577472/k86AY_cN_normal.jpeg
132,ENFJ,,blannahannah,,,"Estes Park, CO",,,,,,,,,,,http://pbs.twimg.com/profile_images/1130316967741730816/UO-plAji_normal.jpg
133,ENFJ,,NeminaF,,,"Anchorage, AK",,,,,,,,,,,http://pbs.twimg.com/profile_images/1068467016158179328/bKbm7Zxr_normal.jpg
134,ENFJ,,infplease,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1101667762210918401/rmDcBsNo_normal.png
135,ENFJ,,CogFun,,,United States,,,,,,,,,,,http://pbs.twimg.com/profile_images/1147628530601275393/EibNNzc8_normal.jpg
136,ENFJ,,cespink3,,,Sexburg,,,,,,,,,,,http://pbs.twimg.com/profile_images/1113317653282676742/LtMrQINi_normal.jpg
137,ENFJ,,jules_fun,,,Some sort of Apple city,,,,,,,,,,,http://pbs.twimg.com/profile_images/1111117153867046913/Jwk_hZhv_normal.jpg
